nome_completo;apelido;data_nascimento;posicao;pe_pref;altura_cm;peso_kg;salario;cidade_nascimento;uf_nascimento;pais_nascimento;historico;api_id;habilidade_atual;habilidade_potencial;escanteios;cruzamentos;drible;finalizacao;primeiro_controle;cobranca_faltas;cabecada;chutes_longe;arremessos_laterais;marcacao;passe;cobranca_penaltis;desarme;tecnica;agressividade;antecipacao;coragem;composicao;concentracao;decisao;determinacao;criatividade;lideranca;movimentacao_sem_bola;posicionamento;trabalho_equipe;visao_jogo;intensidade_trabalho;aceleracao;agilidade;equilibrio;altura_salto;condicao_fisica_natural;velocidade_maxima;resistencia;forca_fisica;reflexos;jogo_aereo_goleiro;defesas_goleiro;comando_area;comunicacao_goleiro;chutes_goleiro;um_contra_um_goleiro;saida_gol;tendencia_socar;arremessos_goleiro;excentricidade;consistencia;jogo_sujo;jogos_importantes;propensao_lesao;versatilidade;adaptabilidade;ambicao;lealdade;pressao;profissionalismo;esportividade;temperamento;controversia;ogol_id;ogol_data_coleta;ogol_rating_estatisticas;ogol_aproveitamento;ogol_gols_sofridos;ogol_defesas;ogol_jogos_sem_sofrer_gols;ogol_media_gols_sofridos;jogos_temporada;gols_totais;assistencias_totais;cartoes_amarelos_totais;cartoes_vermelhos_totais;chutes_totais;chutes_ao_gol_totais;desarmes_totais;interceptacoes_totais;passes_certos_totais;passes_chave_totais;defesas_totais;minutos_totais;media_minutos_por_jogo;participacoes_diretas
Lucas Jorge Pacheco Ferreira;Lucão;25/09/1997;Goleiro;D;199;96.0;;Três Rios;RJ;BRA;FEMAR, Vilavelhense, Vilavelhense, Linhares FC, Vilavelhense, Estrela do Norte, Vilavelhense;634295;88;105;9;7;5;4;10;6;12;5;13;6;11;7;5;11;10;13;13;14;14;13;14;6;12;8;15;12;10;13;11;12;12;15;13;11;12;14;16;14;14;15;13;12;15;14;9;13;8;13;6;12;11;8;13;12;13;13;14;11;12;7;662435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jeferson David Palacios Cantillo;Jeferson Palacios;03/01/2000;Zagueiro;D;187;90.0;;Rioacha;La Guajira;COL;Real Noroeste, Capixaba, Aquidaunense (MS), Capixaba, Gálatas EC, Vilavelhense, Linhares FC, Vilavelhense;634260;82;98;4;7;8;6;10;5;15;6;8;14;11;6;14;10;14;13;14;12;13;12;14;6;8;9;14;12;8;13;12;11;12;15;13;12;13;15;1;1;1;1;1;1;1;1;1;1;1;12;8;11;7;10;13;12;11;12;13;10;12;8;787886;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
João Victor Rozário da Rocha;João Rozário;23/02/2003;Meia-Central / Lateral Esquerdo;C;180;72.0;;Cariacica;ES;BRA;Tigres do Brasil (RJ) U20, Safor CF (ESP), Sport Capixaba, Vilavelhense, Sport Capixaba, Vilavelhense;635819;77;108;6;11;10;7;11;6;12;9;8;13;12;7;14;11;13;13;13;11;12;12;14;9;7;11;13;13;11;15;13;12;12;12;13;13;15;13;1;1;1;1;1;1;1;1;1;1;1;11;7;10;8;14;13;13;12;11;12;11;12;7;902427;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Virgílio Santos Borges;Borjão;11/06/1996;Volante;D;186;76.0;;Salvador;BA;BRA;Vitória, Atlântico-BA, Bahia de Feira, Maringá, Jacuipense, Osasco Audax, Gama, Brasília, Real Noroeste, Gangneung Citizen, Ypiranga-BA, Vilavelhense, Linhares FC, Vilavelhense;634261;82;96;6;10;11;9;12;7;12;11;8;12;13;8;14;12;14;13;13;12;13;13;15;10;9;13;14;14;12;16;13;13;13;12;14;13;16;13;1;1;1;1;1;1;1;1;1;1;1;13;8;12;9;13;13;12;13;12;14;11;12;8;481421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
